shift_date,day_of_week,month,performance_phase,strategy_stage,shift_type,start_time,end_time,hours_worked,active_minutes,idle_minutes,gross_earnings,estimated_miles,orders_completed,offers_received,offers_declined,acceptance_rate_pct,stacked_orders,strategic_exceptions,lowest_offer_accepted,highest_offer_declined,zone,bonus_active,peak_pay_per_order,merchant_category,primary_merchant,avg_merchant_wait_minutes,total_wait_minutes,avg_delivery_minutes,weather,traffic_level,dominant_dropoff_type,energy_start_rating,fatigue_end_rating,stress_rating,earnings_per_hour,avg_dollars_per_order,avg_dollars_per_mile,miles_per_order,orders_per_hour,notes
2025-11-07,Friday,2025-11,1,Baseline / accept most offers,Dinner,17:00,00:30,7.5,412,38,61.17,64.1,10,14,4,70.0,1,1,5.06,6.73,Summerlin,No,0.0,Quick Service,Taco Bell,11.5,115,41.2,Clear,Heavy,Apartment,8.1,6.6,5.2,8.16,6.12,0.95,6.41,1.33,Chased peak pay outside the best zone.
2025-11-08,Saturday,2025-11,1,Baseline / accept most offers,Peak Pay,17:30,23:30,6.0,311,49,56.08,74.5,9,13,4,71.1,2,1,4.87,6.79,Summerlin,Yes,1.0,Dessert/Coffee,Dutch Bros,12.7,114,34.6,Cloudy,Moderate,House,6.2,8.7,6.7,9.35,6.23,0.75,8.28,1.5,Accepted most offers; several long-distance orders.
2025-11-09,Sunday,2025-11,1,Baseline / accept most offers,Weekend Dinner,17:30,23:45,6.25,336,39,58.92,67.8,11,17,6,63.0,3,1,4.21,7.16,Summerlin,No,0.0,Quick Service,Chick-fil-A,11.6,128,30.5,Clear,Moderate,Hotel,9.3,7.5,7.3,9.43,5.36,0.87,6.16,1.76,Accepted most offers; several long-distance orders.
2025-11-11,Tuesday,2025-11,1,Baseline / accept most offers,Dinner,17:30,00:00,6.5,363,27,54.82,63.3,9,14,5,63.4,1,1,4.48,6.54,Henderson,No,0.0,Restaurant,Outback Steakhouse,16.4,148,40.4,Hot,Moderate,House,8.1,6.2,7.4,8.43,6.09,0.87,7.03,1.38,Continued after demand weakened.
2025-11-12,Wednesday,2025-11,1,Baseline / accept most offers,Peak Pay,17:30,00:15,6.75,361,44,63.36,62.2,9,13,4,69.8,2,1,4.22,7.48,North Las Vegas,Yes,2.5,Dessert/Coffee,Nothing Bundt Cakes,10.2,92,40.1,Cloudy,Moderate,Business,6.6,6.7,7.5,9.39,7.04,1.02,6.91,1.33,Accepted most offers; several long-distance orders.
2025-11-15,Saturday,2025-11,1,Baseline / accept most offers,Weekend Dinner,16:00,22:15,6.25,337,38,47.95,47.6,8,10,2,81.2,1,1,5.39,7.4,Summerlin,No,0.0,Quick Service,McDonald's,12.9,103,42.1,Clear,Low,Apartment,6.0,6.6,7.0,7.67,5.99,1.01,5.95,1.28,Chased peak pay outside the best zone.
2025-11-21,Friday,2025-11,1,Baseline / accept most offers,Dinner,17:30,00:15,6.75,345,60,74.45,98.8,14,19,5,74.0,1,1,4.68,7.41,Henderson,No,0.0,Fast Casual,Teriyaki Madness,10.2,143,24.6,Hot,Moderate,House,7.9,6.9,5.5,11.03,5.32,0.75,7.06,2.07,Waited too long at a slow merchant.
2025-11-22,Saturday,2025-11,1,Baseline / accept most offers,Peak Pay,17:30,23:45,6.25,336,39,71.39,91.9,12,17,5,71.9,1,1,5.54,5.62,Henderson,Yes,2.0,Fast Casual,Teriyaki Madness,10.7,129,28.0,Clear,Moderate,Business,6.9,6.7,7.5,11.42,5.95,0.78,7.66,1.92,Chased peak pay outside the best zone.
2025-11-23,Sunday,2025-11,1,Baseline / accept most offers,Peak Pay,16:00,22:30,6.5,340,50,72.23,83.3,8,10,2,78.9,1,1,4.83,6.52,Summerlin,Yes,3.0,Restaurant,BJ's Restaurant,14.2,114,42.5,Clear,Low,Hotel,6.7,7.3,5.7,11.11,9.03,0.87,10.41,1.23,Waited too long at a slow merchant.
2025-11-24,Monday,2025-11,1,Baseline / accept most offers,Open Schedule,14:30,20:45,6.25,325,50,50.86,50.4,11,16,5,66.8,1,1,5.01,8.7,Green Valley,No,0.0,Quick Service,McDonald's,9.2,101,29.5,Clear,Moderate,Apartment,7.3,8.5,7.6,8.14,4.62,1.01,4.58,1.76,Accepted most offers; several long-distance orders.
