"shift_date","shift_type","start_time","end_time","hours_worked","gross_earnings","estimated_miles","orders_completed","avg_dollars_per_mile","dash_zone","bonus_active","notes","day_name"
"2025-11-03","Dinner","17:00:00","00:00:00",7.00,70.74,73.0,12,0.97,"Southwest","No","Accepted most offers; several long-distance orders.",1
"2025-11-06","Lunch","10:45:00","17:00:00",6.25,64.67,62.4,10,1.04,"Henderson","No","Chased a bonus outside the best zone.",4
"2025-11-07","Weekend Dinner","16:30:00","21:45:00",5.25,52.87,74.6,9,0.71,"Henderson","No","Long shift with weak late-hour demand.",5
"2025-11-08","Peak Pay","17:30:00","22:30:00",5.00,43.73,57.0,7,0.77,"Summerlin","Yes","Chased a bonus outside the best zone.",6
"2025-11-09","Open Schedule","14:30:00","20:00:00",5.50,44.78,74.9,7,0.60,"Henderson","No","Long shift with weak late-hour demand.",0
"2025-11-14","Dinner","17:30:00","01:15:00",7.75,70.59,112.0,13,0.63,"Henderson","No","No firm minimum payout rule yet.",5
"2025-11-15","Peak Pay","16:00:00","22:45:00",6.75,75.85,94.7,10,0.80,"Southwest","Yes","Waited too long at a slow merchant; low order turnover.",6
"2025-11-16","Peak Pay","17:00:00","00:00:00",7.00,59.22,73.3,8,0.81,"Henderson","Yes","Chased a bonus outside the best zone.",0
"2025-11-21","Peak Pay","16:30:00","23:15:00",6.75,74.08,74.7,12,0.99,"Southwest","Yes","Long shift with weak late-hour demand.",5
"2025-11-22","Dinner","18:00:00","23:45:00",5.75,50.13,65.7,9,0.76,"Southwest","No","Accepted most offers; several long-distance orders.",6
"2025-11-23","Dinner","16:00:00","22:45:00",6.75,64.21,87.3,10,0.74,"North Las Vegas","Yes","Stacked order looked good but added excessive miles.",0
"2025-11-30","Weekend Dinner","17:30:00","00:15:00",6.75,45.14,57.2,9,0.79,"Green Valley","No","Stacked order looked good but added excessive miles.",0
"2025-12-02","Open Schedule","15:00:00","21:00:00",6.00,58.90,94.3,10,0.62,"Henderson","No","Long shift with weak late-hour demand.",2
"2025-12-03","Open Schedule","14:30:00","20:30:00",6.00,52.21,63.8,9,0.82,"Southwest","No","No firm minimum payout rule yet.",3
"2025-12-05","Peak Pay","16:30:00","22:00:00",5.50,52.13,52.2,8,1.00,"Henderson","Yes","Chased a bonus outside the best zone.",5
"2025-12-06","Weekend Dinner","17:30:00","23:30:00",6.00,63.92,67.2,10,0.95,"Summerlin","No","Waited too long at a slow merchant; low order turnover.",6
"2025-12-07","Peak Pay","17:00:00","22:30:00",5.50,57.07,59.9,9,0.95,"North Las Vegas","Yes","Long shift with weak late-hour demand.",0
"2025-12-09","Dinner","17:30:00","23:30:00",6.00,53.45,61.2,9,0.87,"Southwest","No","Waited too long at a slow merchant; low order turnover.",2
"2025-12-13","Weekend Dinner","17:30:00","00:15:00",6.75,50.43,79.5,8,0.63,"Green Valley","No","Accepted most offers; several long-distance orders.",6
"2025-12-14","Open Schedule","15:00:00","20:15:00",5.25,32.41,41.4,6,0.78,"Green Valley","No","No firm minimum payout rule yet.",0
"2025-12-19","Weekend Dinner","16:30:00","23:15:00",6.75,69.72,68.4,12,1.02,"Green Valley","Yes","Stacked order looked good but added excessive miles.",5
"2025-12-20","Weekend Dinner","18:00:00","01:15:00",7.25,62.01,78.1,13,0.79,"Summerlin","No","Chased a bonus outside the best zone.",6
"2025-12-21","Dinner","17:00:00","00:15:00",7.25,89.24,86.6,13,1.03,"North Las Vegas","Yes","Stacked order looked good but added excessive miles.",0
"2025-12-27","Weekend Dinner","18:00:00","00:00:00",6.00,46.04,51.2,8,0.90,"North Las Vegas","No","Chased a bonus outside the best zone.",6
"2025-12-28","Weekend Dinner","17:30:00","00:30:00",7.00,69.70,90.9,12,0.77,"North Las Vegas","No","Long shift with weak late-hour demand.",0
"2025-12-30","Peak Pay","17:00:00","22:45:00",5.75,53.40,73.9,8,0.72,"Green Valley","Yes","Waited too long at a slow merchant; low order turnover.",2
